Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale,Firefox 68.0,,,2019-09-23 06:57:28,2019-09-23 07:02:34,5m - 5.732s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Firefox 68.0,,,2019-09-23 06:57:29,2019-09-23 06:58:46,1m - 17.229s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 06:57:30,2019-09-23 06:57:37,7.116s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-09-23 06:57:37,2019-09-23 06:57:43,6.040s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 06:57:43,2019-09-23 06:58:09,25.951s,ERROR
delay(delayBetweenTestSteps),Firefox 68.0,,,2019-09-23 06:58:09,2019-09-23 06:58:12,3.004s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-23 06:58:12,2019-09-23 06:58:46,33.939s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 06:58:46,2019-09-23 06:58:46,0.007s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_005,Firefox 68.0,,,2019-09-23 06:58:46,2019-09-23 07:00:01,1m - 14.670s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 06:58:46,2019-09-23 06:58:52,5.776s,PASSED
delay(6),Firefox 68.0,,,2019-09-23 06:58:52,2019-09-23 06:58:58,6.003s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), ""ranjanatest2 - 888814981372/002 Account Type: Ecommerce"", ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 06:58:58,2019-09-23 06:59:24,25.728s,ERROR
delay(3),Firefox 68.0,,,2019-09-23 06:59:24,2019-09-23 06:59:27,3.002s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 68.0,,,2019-09-23 06:59:27,2019-09-23 07:00:01,33.766s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 07:00:01,2019-09-23 07:00:01,0.000s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_006,Firefox 68.0,,,2019-09-23 07:00:01,2019-09-23 07:01:17,1m - 16.220s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 07:00:01,2019-09-23 07:00:08,7.162s,PASSED
delay(6),Firefox 68.0,,,2019-09-23 07:00:08,2019-09-23 07:00:14,6.004s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), ""ranjanatest2 - 888814981372/003 Account Type: Moto"", ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 07:00:14,2019-09-23 07:00:40,25.781s,ERROR
delay(3),Firefox 68.0,,,2019-09-23 07:00:40,2019-09-23 07:00:43,3.007s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 68.0,,,2019-09-23 07:00:43,2019-09-23 07:01:17,33.812s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 07:01:17,2019-09-23 07:01:17,0.000s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_003,Firefox 68.0,,,2019-09-23 07:01:17,2019-09-23 07:02:34,1m - 17.042s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 07:01:17,2019-09-23 07:01:23,6.106s,PASSED
delay(delayForPageLoad),Firefox 68.0,,,2019-09-23 07:01:23,2019-09-23 07:01:29,6.004s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), accountType, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 07:01:29,2019-09-23 07:01:55,25.711s,ERROR
delay(3),Firefox 68.0,,,2019-09-23 07:01:55,2019-09-23 07:01:58,3.003s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", 5)",Firefox 68.0,,,2019-09-23 07:01:58,2019-09-23 07:02:34,35.786s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 07:02:34,2019-09-23 07:02:34,0.000s,PASSED
