Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
schedulingTask,Firefox 68.0,,,2019-09-23 06:04:21,2019-09-23 06:05:39,1m - 18.084s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Firefox 68.0,,,2019-09-23 06:04:22,2019-09-23 06:05:39,1m - 17.633s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 06:04:22,2019-09-23 06:04:30,7.646s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-09-23 06:04:30,2019-09-23 06:04:36,6.077s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 06:04:36,2019-09-23 06:05:02,26.035s,ERROR
delay(delayBetweenTestSteps),Firefox 68.0,,,2019-09-23 06:05:02,2019-09-23 06:05:05,3.005s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-23 06:05:05,2019-09-23 06:05:39,33.979s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 06:05:39,2019-09-23 06:05:39,0.000s,PASSED
