Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale,Firefox 68.0,,,2019-09-19 07:48:14,2019-09-19 07:51:48,3m - 33.909s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Firefox 68.0,,,2019-09-19 07:48:14,2019-09-19 07:48:59,44.742s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-19 07:48:15,2019-09-19 07:48:25,9.612s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-09-19 07:48:25,2019-09-19 07:48:31,6.034s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-19 07:48:31,2019-09-19 07:48:32,1.355s,PASSED
delay(delayBetweenTestSteps),Firefox 68.0,,,2019-09-19 07:48:32,2019-09-19 07:48:35,3.011s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-19 07:48:35,2019-09-19 07:48:35,0.075s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), delayBetweenTestSteps)",Firefox 68.0,Scroll down to Element inputAmount,,2019-09-19 07:48:35,2019-09-19 07:48:36,0.176s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amountInput, ""Enter Amount into Amount text box"", [20])",Firefox 68.0,,,2019-09-19 07:48:36,2019-09-19 07:48:37,1.024s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), delayBetweenTestSteps)",Firefox 68.0,,,2019-09-19 07:48:37,2019-09-19 07:48:37,0.723s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), delayBetweenTestSteps)",Firefox 68.0,,,2019-09-19 07:48:37,2019-09-19 07:48:37,0.120s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, cardInformationCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-19 07:48:37,2019-09-19 07:48:37,0.029s,PASSED
