Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
schedulingTask,Firefox 68.0,,,2019-09-23 06:40:35,2019-09-23 06:41:54,1m - 19.018s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Firefox 68.0,,,2019-09-23 06:40:35,2019-09-23 06:41:54,1m - 18.437s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 06:40:37,2019-09-23 06:40:44,7.676s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-09-23 06:40:44,2019-09-23 06:40:51,6.086s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 06:40:51,2019-09-23 06:41:17,26.089s,ERROR
delay(delayBetweenTestSteps),Firefox 68.0,,,2019-09-23 06:41:17,2019-09-23 06:41:20,3.006s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-23 06:41:20,2019-09-23 06:41:54,33.935s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 06:41:54,2019-09-23 06:41:54,0.012s,PASSED
