Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
schedulingTask,Firefox 68.0,,,2019-09-23 06:16:14,2019-09-23 06:17:33,1m - 18.461s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Firefox 68.0,,,2019-09-23 06:16:15,2019-09-23 06:17:33,1m - 17.527s,ERROR
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-23 06:16:16,2019-09-23 06:16:24,7.788s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-09-23 06:16:24,2019-09-23 06:16:30,6.034s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-23 06:16:30,2019-09-23 06:16:56,25.950s,ERROR
delay(delayBetweenTestSteps),Firefox 68.0,,,2019-09-23 06:16:56,2019-09-23 06:16:59,3.004s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-23 06:16:59,2019-09-23 06:17:33,33.937s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-23 06:17:33,2019-09-23 06:17:33,0.004s,PASSED
